date,region,product,stock_available,stockouts
2026-06-20,North,Product A,1507.2172323116927,5
2026-06-20,North,Product B,1271.8532712238987,0
2026-06-20,North,Product C,1316.3837081393528,2
2026-06-20,North,Product D,1352.9933008298767,3
2026-06-20,South,Product A,1569.2027500404222,2
2026-06-20,South,Product B,1476.4564832634603,4
2026-06-20,South,Product C,1460.7343895733363,2
2026-06-20,South,Product D,1639.9353331428267,4
2026-06-20,East,Product A,1463.4627746746276,1
2026-06-20,East,Product B,1375.9589001511574,2
2026-06-20,East,Product C,1364.231103537233,3
2026-06-20,East,Product D,1673.0048586627133,2
2026-06-20,West,Product A,1481.5094912152783,4
2026-06-20,West,Product B,1419.452014049794,0
2026-06-20,West,Product C,1409.7226233065294,3
2026-06-20,West,Product D,1575.6099109734703,2
2026-06-21,North,Product A,1565.0260609924221,4
2026-06-21,North,Product B,1362.578771137281,0
2026-06-21,North,Product C,1504.6241716524262,1
2026-06-21,North,Product D,1380.1148367335802,1
2026-06-21,South,Product A,1444.7767424730414,4
2026-06-21,South,Product B,1417.7032863545808,1
2026-06-21,South,Product C,1566.308075682729,3
2026-06-21,South,Product D,1444.36994860691,4
2026-06-21,East,Product A,1540.1312472469217,2
2026-06-21,East,Product B,1525.8586727018794,2
2026-06-21,East,Product C,1508.1060669972785,2
2026-06-21,East,Product D,1397.4725378215114,4
2026-06-21,West,Product A,1741.8619264170488,2
2026-06-21,West,Product B,1566.406968342099,6
2026-06-21,West,Product C,1439.4994524790843,3
2026-06-21,West,Product D,1571.0366741724997,3
2026-06-22,North,Product A,1418.551401814077,4
2026-06-22,North,Product B,1627.5180726945787,5
2026-06-22,North,Product C,1525.9709821353147,5
2026-06-22,North,Product D,1555.659774774727,0
2026-06-22,South,Product A,1422.3249058335264,3
2026-06-22,South,Product B,1494.0576794468998,1
2026-06-22,South,Product C,1602.4125183257543,1
2026-06-22,South,Product D,1369.7020493638274,2
2026-06-22,East,Product A,1632.6821950395415,0
2026-06-22,East,Product B,1383.4337793741547,0
2026-06-22,East,Product C,1378.5648397818775,0
2026-06-22,East,Product D,1370.6491270947897,2
2026-06-22,West,Product A,1489.9134770598619,2
2026-06-22,West,Product B,1492.9619817693429,0
2026-06-22,West,Product C,1499.4681956162833,0
2026-06-22,West,Product D,1455.1675607870231,1
2026-06-23,North,Product A,1555.2544005774143,3
2026-06-23,North,Product B,1640.3365190391728,5
2026-06-23,North,Product C,1652.7109413459461,2
2026-06-23,North,Product D,1619.376198907671,1
2026-06-23,South,Product A,1569.6806137076612,2
2026-06-23,South,Product B,1427.8864068401033,2
2026-06-23,South,Product C,1435.280760630919,2
2026-06-23,South,Product D,1476.2201811977368,4
2026-06-23,East,Product A,1623.4726142600784,2
2026-06-23,East,Product B,1609.8999395012456,1
2026-06-23,East,Product C,1554.1820136638557,1
2026-06-23,East,Product D,1456.5943169186385,0
2026-06-23,West,Product A,1803.8766999321367,4
2026-06-23,West,Product B,1730.904375881129,6
2026-06-23,West,Product C,1544.1449478089082,1
2026-06-23,West,Product D,1283.707649299131,1
2026-06-24,North,Product A,1491.2348332870424,1
2026-06-24,North,Product B,1491.7349388284313,2
2026-06-24,North,Product C,1584.9746186044154,0
2026-06-24,North,Product D,1419.582996541949,1
2026-06-24,South,Product A,1455.5737813292837,0
2026-06-24,South,Product B,1552.2440634018528,1
2026-06-24,South,Product C,1549.1840301219067,0
2026-06-24,South,Product D,1489.2389504488242,1
2026-06-24,East,Product A,1594.119398612313,0
2026-06-24,East,Product B,1287.1237566192726,2
2026-06-24,East,Product C,1639.1096463657245,2
2026-06-24,East,Product D,1291.0417098474625,2
2026-06-24,West,Product A,1530.426686392886,3
