date,region,product,orders,sessions,units_sold,unit_price,discount,revenue,product_cost,marketing_spend
2026-06-20,North,Product A,420,12026,580,2100,62435.11787042704,1155564.882129573,632111.284295222,75775.43982024754
2026-06-20,North,Product B,447,12687,581,2280,89647.54361730194,1235032.4563826981,752869.6417531716,77489.84787425993
2026-06-20,North,Product C,474,13526,611,2460,129050.30965876243,1374009.6903412375,792295.7063753427,72814.43115605405
2026-06-20,North,Product D,494,14193,590,2640,83144.63383942761,1474455.3661605725,883537.7325631632,77914.17064866447
2026-06-20,South,Product A,458,13027,576,2100,84562.17238469224,1125037.8276153076,591019.1008687922,54639.83934680359
2026-06-20,South,Product B,461,13189,623,2280,67526.86669737588,1352913.133302624,757128.3578449667,58695.782723472825
2026-06-20,South,Product C,523,14763,705,2460,80785.06546781723,1653514.9345321828,985588.6368887494,112560.02967577477
2026-06-20,South,Product D,539,15389,723,2640,130718.14277868232,1778001.8572213177,984774.6081890762,87803.8389246062
2026-06-20,East,Product A,489,14023,616,2100,53707.05704076434,1239892.9429592357,658457.9048630501,85366.86251883685
2026-06-20,East,Product B,520,14901,678,2280,120981.10074836355,1424858.8992516364,857517.328900795,57403.54656787144
2026-06-20,East,Product C,567,16217,758,2460,148523.9677391121,1716156.0322608878,971636.6141665219,103663.94128484472
2026-06-20,East,Product D,586,16666,733,2640,103676.43611421883,1831443.5638857812,1109275.2470245312,92591.81120810116
2026-06-20,West,Product A,509,14538,648,2100,117216.56156250252,1243583.4384374975,654354.182635362,62241.21450672579
2026-06-20,West,Product B,550,15680,698,2280,79803.6939471339,1511636.3060528662,792949.0273207213,64171.662220182
2026-06-20,West,Product C,569,16200,818,2460,127361.22928764002,1884918.77071236,1086710.478981608,107879.39849375188
2026-06-20,West,Product D,637,18154,885,2640,195987.90545199852,2140412.0945480014,1213822.0775989348,143508.7238912016
2026-06-21,North,Product A,430,12234,570,2100,57815.76750987594,1139184.232490124,661875.874532618,40711.75303883609
2026-06-21,North,Product B,410,11791,476,2280,86912.71727790541,998367.2827220946,605416.2923541631,64784.36995441852
2026-06-21,North,Product C,493,13937,694,2460,136333.9475343713,1570906.0524656286,835128.868929974,97144.94101109997
2026-06-21,North,Product D,448,12845,600,2640,128611.73072895953,1455388.2692710406,862049.9661081543,67604.07644111298
2026-06-21,South,Product A,511,14474,732,2100,90642.50632005236,1446557.4936799477,785118.6595198726,73742.39345873741
2026-06-21,South,Product B,512,14626,645,2280,98495.02758240486,1372104.972417595,740051.9520490159,59905.19161545706
2026-06-21,South,Product C,536,15328,637,2460,73117.67363473964,1493902.3263652604,794399.8646047056,56535.50986955397
2026-06-21,South,Product D,494,14101,623,2640,124248.85540867013,1520471.1445913299,803892.394694878,91922.16181290161
2026-06-21,East,Product A,488,13950,589,2100,65941.4412798775,1170958.5587201226,665398.1422257606,71652.83324695464
2026-06-21,East,Product B,464,13398,664,2280,124370.4254596407,1389549.5745403592,819751.4635264461,67845.69249380055
2026-06-21,East,Product C,555,15851,708,2460,72570.5139504278,1669109.4860495722,994770.5771466187,90103.44677683253
2026-06-21,East,Product D,554,15808,660,2640,135939.7215466647,1606460.2784533354,978921.3058061029,64546.90763925025
2026-06-21,West,Product A,516,14688,662,2100,107767.76121919767,1282432.2387808023,688858.6724194359,85929.33580844926
2026-06-21,West,Product B,519,14943,667,2280,65147.408967632604,1455612.5910323674,887316.0341054457,96222.50720315635
2026-06-21,West,Product C,556,15889,659,2460,79136.30342998628,1542003.6965700136,921259.0234230894,80104.77425442918
2026-06-21,West,Product D,591,16882,774,2640,122152.4804341054,1921207.5195658945,1135766.477683962,125974.1740157263
2026-06-22,North,Product A,380,10934,460,2100,63102.791581886704,902897.2084181133,509924.42949154373,60515.29185893405
2026-06-22,North,Product B,443,12641,619,2280,110158.44956830346,1301161.5504316965,759481.3218258715,84236.24501393632
2026-06-22,North,Product C,459,13083,610,2460,84741.44148877305,1415858.558511227,855600.3310913861,57242.53786015095
2026-06-22,North,Product D,484,13921,650,2640,150198.28951902332,1565801.7104809766,875305.4225302475,77551.17614301396
2026-06-22,South,Product A,444,12659,519,2100,83259.75335638557,1006640.2466436145,524851.0739710194,68997.38846708223
2026-06-22,South,Product B,444,12782,584,2280,115317.21445440639,1216202.7855455936,636760.6057792171,61842.31538731953
2026-06-22,South,Product C,503,14450,647,2460,123373.38037547804,1468246.619624522,856954.4504132636,79830.1326959226
2026-06-22,South,Product D,523,14874,689,2640,108781.32612331992,1710178.67387668,1003851.457208542,82627.37748169964
2026-06-22,East,Product A,441,12658,566,2100,89911.10854814367,1098688.8914518564,574718.7459031014,53443.46236958733
